Date,Year,Passengers,,,,,
6/16,2019,"2,642,083",,,,,
6/17,2019,"2,699,580",,,,,
6/18,2019,"2,466,574",,,,,
6/19,2019,"2,552,395",,,,,
6/20,2019,"2,728,786",,,,,
6/21,2019,"2,772,903",,,,,
6/22,2019,"2,378,559",,,,,
6/23,2019,"2,719,643",,,,,
6/24,2019,"2,716,428",,,,,
6/25,2019,"2,506,510",,,,,
6/26,2019,"2,594,661",,,,,
6/27,2019,"2,711,222",,,,,
6/28,2019,"2,730,515",,,,,
6/29,2019,"2,368,846",,,,,
6/30,2019,"2,632,030",,,,,
7/1,2019,"2,455,536",,,,,
7/2,2019,"2,347,767",,,,,
7/3,2019,"2,547,889",,,,,
7/4,2019,"2,088,760",,,,,
7/5,2019,"2,184,253",,,,,
7/6,2019,"2,345,846",,,,,
7/7,2019,"2,795,369",,,,,
7/8,2019,"2,748,718",,,,,
7/9,2019,"2,506,859",,,,,
7/10,2019,"2,515,902",,,,,
7/11,2019,"2,608,209",,,,,
7/12,2019,"2,716,812",,,,,
7/13,2019,"2,312,178",,,,,
7/14,2019,"2,669,717",,,,,
7/15,2019,"2,615,115",,,,,
7/16,2019,"2,447,177",,,,,
7/17,2019,"2,522,563",,,,,
7/18,2019,"2,716,828",,,,,
7/19,2019,"2,776,960",,,,,
7/20,2019,"2,396,462",,,,,
7/21,2019,"2,727,355",,,,,
7/22,2019,"2,635,312",,,,,
7/23,2019,"2,499,460",,,,,
7/24,2019,"2,561,911",,,,,
7/25,2019,"2,705,399",,,,,
7/26,2019,"2,732,770",,,,,
7/27,2019,"2,364,925",,,,,
7/28,2019,"2,700,723",,,,,
7/29,2019,"2,613,346",,,,,
7/30,2019,"2,438,967",,,,,
7/31,2019,"2,542,365",,,,,
8/1,2019,"2,742,882",,,,,
8/2,2019,"2,730,936",,,,,
8/3,2019,"2,367,967",,,,,
8/4,2019,"2,688,640",,,,,
8/5,2019,"2,619,406",,,,,
8/6,2019,"2,387,115",,,,,
8/7,2019,"2,430,094",,,,,
8/8,2019,"2,707,986",,,,,
8/9,2019,"2,725,000",,,,,
8/10,2019,"2,290,340",,,,,
8/11,2019,"2,647,897",,,,,
8/12,2019,"2,567,986",,,,,
8/13,2019,"2,306,829",,,,,
8/14,2019,"2,391,906",,,,,
8/15,2019,"2,602,446",,,,,
8/16,2019,"2,627,564",,,,,
8/17,2019,"2,171,962",,,,,
8/18,2019,"2,584,444",,,,,
8/19,2019,"2,576,965",,,,,
8/20,2019,"2,247,446",,,,,
8/21,2019,"2,306,838",,,,,
8/22,2019,"2,533,184",,,,,
8/23,2019,"2,559,244",,,,,
8/24,2019,"2,039,233",,,,,
8/25,2019,"2,493,162",,,,,
8/26,2019,"2,358,007",,,,,
8/27,2019,"2,015,088",,,,,
8/28,2019,"2,188,688",,,,,
8/29,2019,"2,561,109",,,,,
8/30,2019,"2,658,558",,,,,
8/31,2019,"1,954,902",,,,,
9/1,2019,"1,887,845",,,,,
9/2,2019,"2,278,159",,,,,
9/3,2019,"2,037,750",,,,,
9/4,2019,"1,889,044",,,,,
9/5,2019,"2,109,858",,,,,
9/6,2019,"2,198,828",,,,,
9/7,2019,"1,755,502",,,,,
9/8,2019,"2,370,003",,,,,
9/9,2019,"2,292,985",,,,,
9/10,2019,"1,943,379",,,,,
9/11,2019,"2,005,867",,,,,
9/12,2019,"2,449,302",,,,,
9/13,2019,"2,484,025",,,,,
9/14,2019,"1,879,822",,,,,
9/15,2019,"2,485,134",,,,,
9/16,2019,"2,405,832",,,,,
9/17,2019,"2,013,050",,,,,
9/18,2019,"2,146,857",,,,,
9/19,2019,"2,455,410",,,,,
9/20,2019,"2,571,924",,,,,
9/21,2019,"1,938,402",,,,,
9/22,2019,"2,524,397",,,,,
9/23,2019,"2,431,388",,,,,
9/24,2019,"2,033,490",,,,,
9/25,2019,"2,188,236",,,,,
9/26,2019,"2,510,926",,,,,
9/27,2019,"2,547,611",,,,,
9/28,2019,"1,966,234",,,,,
9/29,2019,"2,452,596",,,,,
9/30,2019,"2,368,818",,,,,
10/1,2019,"1,998,980",,,,,
10/2,2019,"2,082,179",,,,,
10/3,2019,"2,447,687",,,,,
10/4,2019,"2,526,835",,,,,
10/5,2019,"1,921,185",,,,,
10/6,2019,"2,542,118",,,,,
10/7,2019,"2,400,153",,,,,
10/8,2019,"2,035,628",,,,,
10/9,2019,"2,215,233",,,,,
10/10,2019,"2,605,291",,,,,
10/11,2019,"2,688,032",,,,,
10/12,2019,"2,074,718",,,,,
10/13,2019,"2,555,333",,,,,
10/14,2019,"2,616,771",,,,,
10/15,2019,"2,313,632",,,,,
10/16,2019,"2,317,763",,,,,
10/17,2019,"2,581,007",,,,,
10/18,2019,"2,637,667",,,,,
10/19,2019,"2,049,855",,,,,
10/20,2019,"2,606,266",,,,,
10/21,2019,"2,514,673",,,,,
10/22,2019,"2,126,637",,,,,
10/23,2019,"2,245,199",,,,,
10/24,2019,"2,541,581",,,,,
10/25,2019,"2,594,337",,,,,
10/26,2019,"1,931,971",,,,,
10/27,2019,"2,478,287",,,,,
10/28,2019,"2,347,017",,,,,
10/29,2019,"1,910,506",,,,,
10/30,2019,"2,066,516",,,,,
10/31,2019,"2,047,910",,,,,
11/1,2019,"2,319,906",,,,,
11/2,2019,"1,836,781",,,,,
11/3,2019,"2,459,525",,,,,
11/4,2019,"2,403,304",,,,,
11/5,2019,"2,005,101",,,,,
11/6,2019,"2,147,882",,,,,
11/7,2019,"2,507,365",,,,,
11/8,2019,"2,617,031",,,,,
11/9,2019,"1,970,562",,,,,
11/10,2019,"2,425,615",,,,,
11/11,2019,"2,465,392",,,,,
11/12,2019,"2,150,003",,,,,
11/13,2019,"2,072,207",,,,,
11/14,2019,"2,364,920",,,,,
11/15,2019,"2,437,211",,,,,
11/16,2019,"1,807,230",,,,,
11/17,2019,"2,396,681",,,,,
11/18,2019,"2,298,856",,,,,
11/19,2019,"1,900,895",,,,,
11/20,2019,"2,071,631",,,,,
11/21,2019,"2,428,095",,,,,
11/22,2019,"2,550,459",,,,,
11/23,2019,"2,194,291",,,,,
11/24,2019,"2,321,546",,,,,
11/25,2019,"2,254,188",,,,,
11/26,2019,"2,435,170",,,,,
11/27,2019,"2,624,250",,,,,
11/28,2019,"1,591,158",,,,,
11/29,2019,"1,968,137",,,,,
11/30,2019,"2,648,268",,,,,
12/1,2019,"2,882,915",,,,,
12/2,2019,"2,591,470",,,,,
12/3,2019,"2,280,403",,,,,
12/4,2019,"2,122,576",,,,,
12/5,2019,"2,333,173",,,,,
12/6,2019,"2,348,822",,,,,
12/7,2019,"1,816,896",,,,,
12/8,2019,"2,359,385",,,,,
12/9,2019,"2,296,732",,,,,
12/10,2019,"1,964,234",,,,,
12/11,2019,"2,088,451",,,,,
12/12,2019,"2,433,028",,,,,
12/13,2019,"2,459,107",,,,,
12/14,2019,"1,954,965",,,,,
12/15,2019,"2,367,915",,,,,
12/16,2019,"2,320,721",,,,,
12/17,2019,"2,076,328",,,,,
12/18,2019,"2,304,407",,,,,
12/19,2019,"2,544,637",,,,,
12/20,2019,"2,681,695",,,,,
12/21,2019,"2,557,988",,,,,
12/22,2019,"2,589,688",,,,,
12/23,2019,"2,562,555",,,,,
12/24,2019,"2,042,078",,,,,
12/25,2019,"1,996,541",,,,,
12/26,2019,"2,623,113",,,,,
12/27,2019,"2,654,247",,,,,
12/28,2019,"2,540,383",,,,,
12/29,2019,"2,647,034",,,,,
12/30,2019,"2,572,305",,,,,
12/31,2019,"2,073,706",,,,,
1/1,2020,"2,196,916",,,,,
1/2,2020,"2,461,726",,,,,
1/3,2020,"2,381,987",,,,,
1/4,2020,"2,244,162",,,,,
1/5,2020,"2,491,894",,,,,
1/6,2020,"2,280,882",,,,,
1/7,2020,"1,871,059",,,,,
1/8,2020,"1,880,834",,,,,
1/9,2020,"2,102,860",,,,,
1/10,2020,"2,142,463",,,,,
1/11,2020,"1,749,697",,,,,
1/12,2020,"2,253,585",,,,,
1/13,2020,"2,060,378",,,,,
1/14,2020,"1,756,374",,,,,
1/15,2020,"1,943,701",,,,,
1/16,2020,"2,312,979",,,,,
1/17,2020,"2,418,305",,,,,
1/18,2020,"1,844,437",,,,,
1/19,2020,"2,064,997",,,,,
1/20,2020,"2,367,538",,,,,
1/21,2020,"1,936,023",,,,,
1/22,2020,"1,867,782",,,,,
1/23,2020,"2,169,321",,,,,
1/24,2020,"2,215,449",,,,,
1/25,2020,"1,705,850",,,,,
1/26,2020,"2,203,488",,,,,
1/27,2020,"2,073,819",,,,,
1/28,2020,"1,707,733",,,,,
1/29,2020,"1,842,526",,,,,
1/30,2020,"2,154,295",,,,,
1/31,2020,"2,229,563",,,,,
2/1,2020,"1,719,082",,,,,
2/2,2020,"2,011,645",,,,,
2/3,2020,"2,123,304",,,,,
2/4,2020,"1,742,605",,,,,
2/5,2020,"1,843,877",,,,,
2/6,2020,"2,167,857",,,,,
2/7,2020,"2,271,551",,,,,
2/8,2020,"1,770,241",,,,,
2/9,2020,"2,224,826",,,,,
2/10,2020,"2,164,951",,,,,
2/11,2020,"1,814,047",,,,,
2/12,2020,"2,038,375",,,,,
2/13,2020,"2,415,185",,,,,
2/14,2020,"2,507,588",,,,,
2/15,2020,"1,972,248",,,,,
2/16,2020,"2,198,657",,,,,
2/17,2020,"2,494,922",,,,,
2/18,2020,"2,190,300",,,,,
2/19,2020,"2,129,862",,,,,
2/20,2020,"2,358,511",,,,,
2/21,2020,"2,429,489",,,,,
2/22,2020,"1,951,535",,,,,
2/23,2020,"2,380,359",,,,,
2/24,2020,"2,267,382",,,,,
2/25,2020,"1,919,803",,,,,
2/26,2020,"2,075,554",,,,,
2/27,2020,"2,364,727",,,,,
2/28,2020,"2,441,643",,,,,
2/29,2020,"1,949,696",,,,,
3/1,2020,"2,353,150",,,,,
