Date,Year,Passengers,,,,,
2/2,2021,"532,690",,,,,
2/3,2021,"619,345",,,,,
2/4,2021,"822,488",,,,,
2/5,2021,"876,937",,,,,
2/6,2021,"707,510",,,,,
2/7,2021,"854,869",,,,,
2/8,2021,"867,476",,,,,
2/9,2021,"617,701",,,,,
2/10,2021,"735,556",,,,,
2/11,2021,"1,036,723",,,,,
2/12,2021,"1,155,618",,,,,
2/13,2021,"902,559",,,,,
2/14,2021,"950,106",,,,,
2/15,2021,"972,683",,,,,
2/16,2021,"742,396",,,,,
2/17,2021,"774,699",,,,,
2/18,2021,"915,532",,,,,
2/19,2021,"1,062,561",,,,,
2/20,2021,"943,723",,,,,
2/21,2021,"1,119,216",,,,,
2/22,2021,"964,168",,,,,
2/23,2021,"717,867",,,,,
2/24,2021,"804,473",,,,,
2/25,2021,"1,054,777",,,,,
2/26,2021,"1,097,941",,,,,
2/27,2021,"919,593",,,,,
2/28,2021,"1,192,326",,,,,
2/29,2021,null,,,,,
3/1,2021,"1,049,769",,,,,
3/2,2021,"744,939",,,,,
3/3,2021,"826,947",,,,,
3/4,2021,"1,107,943",,,,,
3/5,2021,"1,169,237",,,,,
3/6,2021,"994,275",,,,,
3/7,2021,"1,278,653",,,,,
3/8,2021,"1,119,372",,,,,
3/9,2021,"826,091",,,,,
3/10,2021,"974,236",,,,,
3/11,2021,"1,287,040",,,,,
3/12,2021,"1,410,170",,,,,
3/13,2021,"1,228,317",,,,,
3/14,2021,"1,347,204",,,,,
3/15,2021,"1,268,273",,,,,
3/16,2021,"1,092,791",,,,,
3/17,2021,"1,146,638",,,,,
3/18,2021,"1,413,414",,,,,
3/19,2021,"1,478,042",,,,,
3/20,2021,"1,375,030",,,,,
3/21,2021,"1,556,471",,,,,
3/22,2021,"1,364,921",,,,,
3/23,2021,"1,090,056",,,,,
3/24,2021,"1,177,731",,,,,
3/25,2021,"1,449,187",,,,,
3/26,2021,"1,536,966",,,,,
3/27,2021,"1,413,260",,,,,
3/28,2021,"1,580,233",,,,,
3/29,2021,"1,415,144",,,,,
3/30,2021,"1,139,738",,,,,
3/31,2021,"1,282,646",,,,,
4/1,2021,"1,567,562",,,,,
4/2,2021,"1,588,784",,,,,
4/3,2021,"1,404,433",,,,,
4/4,2021,"1,548,893",,,,,
4/5,2021,"1,569,756",,,,,
4/6,2021,"1,200,572",,,,,
4/7,2021,"1,234,454",,,,,
4/8,2021,"1,515,715",,,,,
4/9,2021,"1,555,811",,,,,
4/10,2021,"1,382,954",,,,,
4/11,2021,"1,567,936",,,,,
4/12,2021,"1,473,015",,,,,
4/13,2021,"1,093,419",,,,,
4/14,2021,"1,154,820",,,,,
4/15,2021,"1,496,171",,,,,
4/16,2021,"1,526,424",,,,,
4/17,2021,"1,282,409",,,,,
4/18,2021,"1,574,791",,,,,
4/19,2021,"1,419,700",,,,,
4/20,2021,"1,087,776",,,,,
4/21,2021,"1,167,282",,,,,
4/22,2021,"1,512,553",,,,,
4/23,2021,"1,529,078",,,,,
4/24,2021,"1,267,678",,,,,
4/25,2021,"1,573,593",,,,,
4/26,2021,"1,427,079",,,,,
4/27,2021,"1,083,183",,,,,
4/28,2021,"1,187,046",,,,,
4/29,2021,"1,528,980",,,,,
4/30,2021,"1,565,558",,,,,
5/1,2021,"1,340,793",,,,,
5/2,2021,"1,630,261",,,,,
5/3,2021,"1,470,213",,,,,
5/4,2021,"1,140,584",,,,,
5/5,2021,"1,272,679",,,,,
5/6,2021,"1,647,819",,,,,
5/7,2021,"1,705,282",,,,,
5/8,2021,"1,439,280",,,,,
5/9,2021,"1,711,460",,,,,
5/10,2021,"1,663,855",,,,,
5/11,2021,"1,320,930",,,,,
5/12,2021,"1,434,435",,,,,
5/13,2021,"1,749,910",,,,,
5/14,2021,"1,790,431",,,,,
5/15,2021,"1,520,878",,,,,
5/16,2021,"1,859,924",,,,,
5/17,2021,"1,742,325",,,,,
5/18,2021,"1,414,076",,,,,
5/19,2021,"1,500,713",,,,,
5/20,2021,"1,796,354",,,,,
5/21,2021,"1,833,181",,,,,
5/22,2021,"1,558,549",,,,,
5/23,2021,"1,874,277",,,,,
5/24,2021,"1,752,297",,,,,
5/25,2021,"1,478,917",,,,,
5/26,2021,"1,627,422",,,,,
5/27,2021,"1,867,067",,,,,
5/28,2021,"1,969,075",,,,,
5/29,2021,"1,614,785",,,,,
5/30,2021,"1,662,359",,,,,
5/31,2021,"1,910,828",,,,,
6/1,2021,"1,694,578",,,,,
6/2,2021,"1,598,873",,,,,
6/3,2021,"1,823,395",,,,,
6/4,2021,"1,896,190",,,,,
6/5,2021,"1,686,932",,,,,
6/6,2021,"1,993,494",,,,,
6/7,2021,"1,837,383",,,,,
6/8,2021,"1,574,822",,,,,
6/9,2021,"1,684,912",,,,,
6/10,2021,"1,985,698",,,,,
6/11,2021,"2,044,087",,,,,
6/12,2021,"1,818,203",,,,,
6/13,2021,"2,104,681",,,,,
6/14,2021,"1,978,110",,,,,
6/15,2021,"1,701,213",,,,,
6/16,2021,"1,805,340",,,,,
6/17,2021,"2,047,190",,,,,
6/18,2021,"2,099,797",,,,,
6/19,2021,"1,886,401",,,,,
6/20,2021,"2,107,997",,,,,
6/21,2021,"2,036,775",,,,,
6/22,2021,"1,800,947",,,,,
6/23,2021,"1,866,027",,,,,
6/24,2021,"2,095,773",,,,,
6/25,2021,"2,147,042",,,,,
6/26,2021,"1,925,933",,,,,
6/27,2021,"2,181,055",,,,,
6/28,2021,"2,073,847",,,,,
6/29,2021,"1,820,725",,,,,
6/30,2021,"1,937,606",,,,,
7/1,2021,"2,152,087",,,,,
7/2,2021,"2,205,102",,,,,
7/3,2021,"1,918,985",,,,,
7/4,2021,"1,697,422",,,,,
7/5,2021,"2,167,826",,,,,
7/6,2021,"1,896,755",,,,,
7/7,2021,"1,891,781",,,,,
7/8,2021,"2,102,632",,,,,
7/9,2021,"2,158,137",,,,,
7/10,2021,"1,993,017",,,,,
7/11,2021,"2,211,451",,,,,
7/12,2021,"2,100,231",,,,,
7/13,2021,"1,840,503",,,,,
7/14,2021,"1,919,907",,,,,
7/15,2021,"2,162,549",,,,,
7/16,2021,"2,216,363",,,,,
7/17,2021,"1,992,789",,,,,
7/18,2021,"2,248,801",,,,,
7/19,2021,"2,147,951",,,,,
7/20,2021,"1,882,824",,,,,
7/21,2021,"1,947,336",,,,,
7/22,2021,"2,177,183",,,,,
7/23,2021,"2,232,628",,,,,
7/24,2021,"2,009,417",,,,,
7/25,2021,"2,247,129",,,,,
7/26,2021,"2,135,322",,,,,
7/27,2021,"1,872,237",,,,,
7/28,2021,"1,942,685",,,,,
7/29,2021,"2,138,113",,,,,
7/30,2021,"2,209,522",,,,,
7/31,2021,"2,017,941",,,,,
8/1,2021,"2,248,894",,,,,
8/2,2021,"2,104,204",,,,,
8/3,2021,"1,811,428",,,,,
8/4,2021,"1,867,373",,,,,
8/5,2021,"2,079,440",,,,,
8/6,2021,"2,116,970",,,,,
8/7,2021,"1,927,576",,,,,
8/8,2021,"2,183,576",,,,,
8/9,2021,"2,032,871",,,,,
8/10,2021,"1,737,189",,,,,
8/11,2021,"1,778,638",,,,,
8/12,2021,"2,053,398",,,,,
8/13,2021,"2,071,913",,,,,
8/14,2021,"1,818,071",,,,,
8/15,2021,"2,123,872",,,,,
8/16,2021,"1,984,827",,,,,
8/17,2021,"1,612,933",,,,,
8/18,2021,"1,698,840",,,,,
8/19,2021,"1,951,656",,,,,
8/20,2021,"1,992,705",,,,,
8/21,2021,"1,687,357",,,,,
8/22,2021,"1,966,708",,,,,
8/23,2021,"1,830,076",,,,,
8/24,2021,"1,474,442",,,,,
8/25,2021,"1,548,018",,,,,
8/26,2021,"1,829,300",,,,,
8/27,2021,"1,859,603",,,,,
8/28,2021,"1,515,791",,,,,
8/29,2021,"1,904,152",,,,,
8/30,2021,"1,641,333",,,,,
8/31,2021,"1,351,765",,,,,
9/1,2021,"1,473,895",,,,,
9/2,2021,"1,913,865",,,,,
9/3,2021,"2,137,114",,,,,
9/4,2021,"1,561,225",,,,,
9/5,2021,"1,633,547",,,,,
9/6,2021,"2,034,282",,,,,
9/7,2021,"1,666,629",,,,,
9/8,2021,"1,450,281",,,,,
9/9,2021,"1,690,239",,,,,
9/10,2021,"1,797,588",,,,,
9/11,2021,"1,369,377",,,,,
9/12,2021,"1,970,138",,,,,
9/13,2021,"1,673,501",,,,,
9/14,2021,"1,276,190",,,,,
9/15,2021,"1,457,026",,,,,
9/16,2021,"1,858,720",,,,,
9/17,2021,"1,948,844",,,,,
9/18,2021,"1,483,305",,,,,
9/19,2021,"2,083,726",,,,,
9/20,2021,"1,824,666",,,,,
9/21,2021,"1,340,357",,,,,
9/22,2021,"1,466,926",,,,,
9/23,2021,"1,910,871",,,,,
9/24,2021,"2,026,013",,,,,
9/25,2021,"1,529,298",,,,,
9/26,2021,"2,105,417",,,,,
9/27,2021,"1,851,991",,,,,
9/28,2021,"1,336,835",,,,,
9/29,2021,"1,453,368",,,,,
9/30,2021,"1,937,665",,,,,
10/1,2021,"2,019,716",,,,,
10/2,2021,"1,538,107",,,,,
10/3,2021,"2,103,061",,,,,
10/4,2021,"1,846,687",,,,,
10/5,2021,"1,394,280",,,,,
10/6,2021,"1,576,263",,,,,
10/7,2021,"2,068,329",,,,,
10/8,2021,"2,178,818",,,,,
10/9,2021,"1,734,033",,,,,
10/10,2021,"2,087,077",,,,,
10/11,2021,"2,090,755",,,,,
10/12,2021,"1,702,427",,,,,
10/13,2021,"1,659,052",,,,,
10/14,2021,"2,053,322",,,,,
10/15,2021,"2,116,988",,,,,
10/16,2021,"1,706,852",,,,,
10/17,2021,"2,220,642",,,,,
10/18,2021,"2,003,439",,,,,
10/19,2021,"1,525,074",,,,,
10/20,2021,"1,652,011",,,,,
10/21,2021,"2,052,193",,,,,
10/22,2021,"2,119,017",,,,,
10/23,2021,"1,684,418",,,,,
10/24,2021,"2,180,380",,,,,
10/25,2021,"1,994,218",,,,,
10/26,2021,"1,509,452",,,,,
10/27,2021,"1,553,733",,,,,
10/28,2021,"1,930,016",,,,,
10/29,2021,"1,989,947",,,,,
10/30,2021,"1,518,998",,,,,
10/31,2021,"1,850,278",,,,,
11/1,2021,"2,001,864",,,,,
11/2,2021,"1,492,468",,,,,
11/3,2021,"1,533,093",,,,,
11/4,2021,"1,947,471",,,,,
11/5,2021,"2,042,336",,,,,
11/6,2021,"1,584,913",,,,,
11/7,2021,"2,155,649",,,,,
11/8,2021,"1,959,106",,,,,
11/9,2021,"1,459,203",,,,,
11/10,2021,"1,702,552",,,,,
11/11,2021,"2,070,980",,,,,
11/12,2021,"2,008,291",,,,,
11/13,2021,"1,618,028",,,,,
11/14,2021,"2,215,702",,,,,
11/15,2021,"2,022,347",,,,,
11/16,2021,"1,494,701",,,,,
11/17,2021,"1,634,212",,,,,
11/18,2021,"2,044,622",,,,,
11/19,2021,"2,248,096",,,,,
11/20,2021,"2,008,922",,,,,
11/21,2021,"2,216,940",,,,,
11/22,2021,"2,087,536",,,,,
11/23,2021,"2,217,635",,,,,
11/24,2021,"2,331,880",,,,,
11/25,2021,"1,383,501",,,,,
11/26,2021,"1,783,938",,,,,
11/27,2021,"2,219,149",,,,,
11/28,2021,"2,458,325",,,,,
11/29,2021,"2,240,556",,,,,
11/30,2021,"1,818,492",,,,,
12/1,2021,"1,669,185",,,,,
12/2,2021,"1,874,481",,,,,
12/3,2021,"1,956,238",,,,,
12/4,2021,"1,571,068",,,,,
12/5,2021,"2,071,647",,,,,
12/6,2021,"1,853,893",,,,,
12/7,2021,"1,465,585",,,,,
12/8,2021,"1,621,499",,,,,
12/9,2021,"1,969,493",,,,,
12/10,2021,"2,053,444",,,,,
12/11,2021,"1,671,592",,,,,
12/12,2021,"2,107,361",,,,,
12/13,2021,"1,919,994",,,,,
12/14,2021,"1,590,394",,,,,
12/15,2021,"1,769,605",,,,,
12/16,2021,"2,137,354",,,,,
12/17,2021,"2,235,581",,,,,
12/18,2021,"2,040,879",,,,,
12/19,2021,"2,184,906",,,,,
12/20,2021,"2,099,852",,,,,
12/21,2021,"1,996,071",,,,,
12/22,2021,"2,106,209",,,,,
12/23,2021,"2,197,896",,,,,
12/24,2021,"1,713,351",,,,,
12/25,2021,"1,535,935",,,,,
12/26,2021,"2,074,458",,,,,
12/27,2021,"2,093,615",,,,,
12/28,2021,"2,000,891",,,,,
12/29,2021,"2,029,343",,,,,
12/30,2021,"2,069,413",,,,,
12/31,2021,"1,658,357",,,,,
1/1,2022,"1,616,850",,,,,
1/2,2022,"2,026,176",,,,,
1/3,2022,"1,921,966",,,,,
1/4,2022,"1,673,499",,,,,
1/5,2022,"1,501,170",,,,,
1/6,2022,"1,543,985",,,,,
1/7,2022,"1,518,098",,,,,
1/8,2022,"1,450,135",,,,,
1/9,2022,"1,706,857",,,,,
1/10,2022,"1,453,110",,,,,
1/11,2022,"1,129,725",,,,,
1/12,2022,"1,234,827",,,,,
1/13,2022,"1,543,648",,,,,
1/14,2022,"1,741,376",,,,,
1/15,2022,"1,421,612",,,,,
1/16,2022,"1,438,492",,,,,
1/17,2022,"1,704,328",,,,,
1/18,2022,"1,301,256",,,,,
1/19,2022,"1,201,589",,,,,
1/20,2022,"1,470,973",,,,,
1/21,2022,"1,514,895",,,,,
1/22,2022,"1,246,901",,,,,
1/23,2022,"1,649,090",,,,,
1/24,2022,"1,399,342",,,,,
1/25,2022,"1,063,856",,,,,
1/26,2022,"1,200,998",,,,,
1/27,2022,"1,560,893",,,,,
1/28,2022,"1,634,225",,,,,
1/29,2022,"1,070,815",,,,,
1/30,2022,"1,716,055",,,,,
1/31,2022,"1,539,356",,,,,
2/1,2022,"1,203,689",,,,,
2/2,2022,"1,196,728",,,,,
2/3,2022,"1,342,502",,,,,
2/4,2022,"1,583,678",,,,,
2/5,2022,"1,399,603",,,,,
2/6,2022,"1,786,681",,,,,
2/7,2022,"1,592,651",,,,,
2/8,2022,"1,239,137",,,,,
2/9,2022,"1,390,835",,,,,
2/10,2022,"1,786,323",,,,,
2/11,2022,"1,918,436",,,,,
2/12,2022,"1,538,874",,,,,
2/13,2022,"1,821,279",,,,,
2/14,2022,"1,737,532",,,,,
2/15,2022,"1,541,222",,,,,
2/16,2022,"1,670,550",,,,,
2/17,2022,"1,986,581",,,,,
2/18,2022,"2,244,042",,,,,
2/19,2022,"1,826,833",,,,,
2/20,2022,"2,068,827",,,,,
2/21,2022,"2,222,002",,,,,
2/22,2022,"1,785,417",,,,,
2/23,2022,"1,755,527",,,,,
2/24,2022,"1,988,432",,,,,
2/25,2022,"2,104,233",,,,,
2/26,2022,"1,842,536",,,,,
2/27,2022,"2,150,118",,,,,
2/28,2022,"1,984,773",,,,,
2/29,2022,null,,,,,
3/1,2022,"1,638,699",,,,,
3/2,2022,"1,740,923",,,,,
3/3,2022,"2,053,525",,,,,
3/4,2022,"2,139,036",,,,,
3/5,2022,"1,831,741",,,,,
3/6,2022,"2,184,096",,,,,
3/7,2022,"2,019,553",,,,,
3/8,2022,"1,657,723",,,,,
3/9,2022,"1,850,986",,,,,
3/10,2022,"2,185,904",,,,,
3/11,2022,"2,299,583",,,,,
3/12,2022,"1,998,129",,,,,
3/13,2022,"2,293,374",,,,,
3/14,2022,"2,203,639",,,,,
3/15,2022,"1,870,647",,,,,
3/16,2022,"2,000,210",,,,,
3/17,2022,"2,231,375",,,,,
3/18,2022,"2,319,876",,,,,
3/19,2022,"2,108,715",,,,,
3/20,2022,"2,379,182",,,,,
3/21,2022,"2,177,240",,,,,
3/22,2022,"1,859,077",,,,,
3/23,2022,"1,971,979",,,,,
3/24,2022,"2,255,090",,,,,
3/25,2022,"2,304,825",,,,,
3/26,2022,"2,022,231",,,,,
3/27,2022,"2,313,481",,,,,
3/28,2022,"2,141,002",,,,,
3/29,2022,"1,747,597",,,,,
3/30,2022,"1,887,509",,,,,
3/31,2022,"2,219,675",,,,,
4/1,2022,"2,287,653",,,,,
4/2,2022,"1,922,516",,,,,
4/3,2022,"2,206,569",,,,,
4/4,2022,"2,141,153",,,,,
4/5,2022,"1,850,647",,,,,
4/6,2022,"1,982,006",,,,,
4/7,2022,"2,227,151",,,,,
4/8,2022,"2,327,849",,,,,
4/9,2022,"1,959,523",,,,,
4/10,2022,"2,300,909",,,,,
4/11,2022,"2,188,196",,,,,
4/12,2022,"1,883,285",,,,,
4/13,2022,"2,053,892",,,,,
4/14,2022,"2,354,474",,,,,
4/15,2022,"2,315,430",,,,,
4/16,2022,"1,903,886",,,,,
4/17,2022,"2,214,376",,,,,
4/18,2022,"2,292,729",,,,,
4/19,2022,"1,988,681",,,,,
4/20,2022,"2,034,403",,,,,
4/21,2022,"2,288,508",,,,,
4/22,2022,"2,309,474",,,,,
4/23,2022,"1,915,707",,,,,
4/24,2022,"2,298,561",,,,,
4/25,2022,"2,189,296",,,,,
4/26,2022,"1,870,392",,,,,
4/27,2022,"1,999,806",,,,,
4/28,2022,"2,267,171",,,,,
4/29,2022,"2,286,852",,,,,
4/30,2022,"1,885,701",,,,,
5/1,2022,"2,279,287",,,,,
5/2,2022,"2,146,993",,,,,
5/3,2022,"1,827,782",,,,,
5/4,2022,"1,962,832",,,,,
5/5,2022,"2,240,816",,,,,
5/6,2022,"2,292,080",,,,,
5/7,2022,"1,884,883",,,,,
5/8,2022,"2,255,547",,,,,
5/9,2022,"2,244,645",,,,,
5/10,2022,"1,908,906",,,,,
5/11,2022,"2,030,630",,,,,
5/12,2022,"2,337,876",,,,,
5/13,2022,"2,358,444",,,,,
5/14,2022,"1,984,654",,,,,
5/15,2022,"2,399,801",,,,,
5/16,2022,"2,282,944",,,,,
5/17,2022,"2,042,144",,,,,
5/18,2022,"2,117,010",,,,,
5/19,2022,"2,366,865",,,,,
5/20,2022,"2,356,404",,,,,
5/21,2022,"1,999,651",,,,,
5/22,2022,"2,364,240",,,,,
5/23,2022,"2,339,945",,,,,
5/24,2022,"2,034,843",,,,,
5/25,2022,"2,165,771",,,,,
5/26,2022,"2,399,579",,,,,
5/27,2022,"2,397,928",,,,,
5/28,2022,"2,000,335",,,,,
5/29,2022,"2,103,022",,,,,
5/30,2022,"2,319,237",,,,,
5/31,2022,"2,114,935",,,,,
6/1,2022,"2,023,231",,,,,
6/2,2022,"2,228,271",,,,,
6/3,2022,"2,347,283",,,,,
6/4,2022,"1,992,251",,,,,
6/5,2022,"2,396,442",,,,,
6/6,2022,"2,286,429",,,,,
6/7,2022,"2,067,274",,,,,
6/8,2022,"2,175,579",,,,,
6/9,2022,"2,396,538",,,,,
6/10,2022,"2,443,671",,,,,
6/11,2022,"2,153,865",,,,,
6/12,2022,"2,456,971",,,,,
6/13,2022,"2,389,152",,,,,
6/14,2022,"2,139,865",,,,,
6/15,2022,"2,238,873",,,,,
6/16,2022,"2,387,496",,,,,
6/17,2022,"2,454,485",,,,,
6/18,2022,"2,186,387",,,,,
6/19,2022,"2,398,687",,,,,
6/20,2022,"2,431,925",,,,,
6/21,2022,"2,158,912",,,,,
6/22,2022,"2,197,876",,,,,
6/23,2022,"2,453,936",,,,,
6/24,2022,"2,471,808",,,,,
6/25,2022,"2,198,435",,,,,
6/26,2022,"2,469,720",,,,,
6/27,2022,"2,374,892",,,,,
6/28,2022,"2,147,125",,,,,
6/29,2022,"2,237,932",,,,,
6/30,2022,"2,455,588",,,,,
7/1,2022,"2,501,366",,,,,
7/2,2022,"2,169,068",,,,,
7/3,2022,"2,102,878",,,,,
7/4,2022,"2,086,854",,,,,
7/5,2022,"2,209,031",,,,,
7/6,2022,"2,136,035",,,,,
7/7,2022,"2,245,980",,,,,
7/8,2022,"2,288,984",,,,,
7/9,2022,"2,145,996",,,,,
7/10,2022,"2,443,836",,,,,
7/11,2022,"2,318,551",,,,,
7/12,2022,"2,072,335",,,,,
7/13,2022,"2,188,234",,,,,
7/14,2022,"2,402,480",,,,,
7/15,2022,"2,449,536",,,,,
7/16,2022,"2,196,011",,,,,
7/17,2022,"2,453,236",,,,,
7/18,2022,"2,363,728",,,,,
7/19,2022,"2,142,454",,,,,
7/20,2022,"2,226,450",,,,,
7/21,2022,"2,440,027",,,,,
7/22,2022,"2,464,194",,,,,
7/23,2022,"2,190,483",,,,,
7/24,2022,"2,494,885",,,,,
7/25,2022,"2,386,005",,,,,
7/26,2022,"2,146,087",,,,,
7/27,2022,"2,238,047",,,,,
7/28,2022,"2,414,062",,,,,
7/29,2022,"2,464,079",,,,,
7/30,2022,"2,211,091",,,,,
7/31,2022,"2,486,969",,,,,
8/1,2022,"2,373,400",,,,,
8/2,2022,"2,053,497",,,,,
8/3,2022,"2,117,390",,,,,
8/4,2022,"2,360,671",,,,,
8/5,2022,"2,406,372",,,,,
8/6,2022,"2,178,405",,,,,
8/7,2022,"2,438,788",,,,,
8/8,2022,"2,340,305",,,,,
8/9,2022,"2,049,473",,,,,
8/10,2022,"2,112,967",,,,,
8/11,2022,"2,340,082",,,,,
8/12,2022,"2,361,142",,,,,
8/13,2022,"2,058,033",,,,,
8/14,2022,"2,360,307",,,,,
8/15,2022,"2,276,507",,,,,
8/16,2022,"2,016,730",,,,,
8/17,2022,"2,051,652",,,,,
8/18,2022,"2,335,005",,,,,
8/19,2022,"2,358,565",,,,,
8/20,2022,"2,014,843",,,,,
8/21,2022,"2,348,153",,,,,
8/22,2022,"2,260,555",,,,,
8/23,2022,"1,960,482",,,,,
8/24,2022,"1,997,252",,,,,
8/25,2022,"2,263,665",,,,,
8/26,2022,"2,284,831",,,,,
8/27,2022,"1,888,903",,,,,
8/28,2022,"2,319,869",,,,,
8/29,2022,"2,100,205",,,,,
8/30,2022,"1,768,473",,,,,
8/31,2022,"2,009,736",,,,,
9/1,2022,"2,324,033",,,,,
9/2,2022,"2,479,578",,,,,
9/3,2022,"1,903,950",,,,,
9/4,2022,"1,979,923",,,,,
9/5,2022,"2,409,938",,,,,
9/6,2022,"2,088,456",,,,,
9/7,2022,"1,835,889",,,,,
9/8,2022,"2,120,200",,,,,
9/9,2022,"2,224,222",,,,,
9/10,2022,"1,828,963",,,,,
9/11,2022,"2,340,559",,,,,
9/12,2022,"2,230,866",,,,,
9/13,2022,"1,816,435",,,,,
9/14,2022,"1,976,151",,,,,
9/15,2022,"2,357,970",,,,,
9/16,2022,"2,375,510",,,,,
9/17,2022,"1,888,228",,,,,
9/18,2022,"2,349,493",,,,,
9/19,2022,"2,227,301",,,,,
9/20,2022,"1,898,568",,,,,
9/21,2022,"1,960,592",,,,,
9/22,2022,"2,335,489",,,,,
9/23,2022,"2,405,872",,,,,
9/24,2022,"1,914,884",,,,,
9/25,2022,"2,362,292",,,,,
9/26,2022,"2,229,901",,,,,
9/27,2022,"1,842,212",,,,,
9/28,2022,"1,724,121",,,,,
9/29,2022,"2,000,766",,,,,
9/30,2022,"2,143,343",,,,,
10/1,2022,"1,868,495",,,,,
10/2,2022,"2,279,898",,,,,
10/3,2022,"2,099,505",,,,,
10/4,2022,"1,802,567",,,,,
10/5,2022,"1,996,446",,,,,
10/6,2022,"2,376,101",,,,,
10/7,2022,"2,473,989",,,,,
10/8,2022,"2,018,002",,,,,
10/9,2022,"2,425,613",,,,,
10/10,2022,"2,330,624",,,,,
10/11,2022,"2,046,661",,,,,
10/12,2022,"2,119,772",,,,,
10/13,2022,"2,413,700",,,,,
10/14,2022,"2,412,403",,,,,
10/15,2022,"2,036,937",,,,,
10/16,2022,"2,475,395",,,,,
10/17,2022,"2,294,755",,,,,
10/18,2022,"2,003,403",,,,,
10/19,2022,"2,110,090",,,,,
10/20,2022,"2,429,402",,,,,
10/21,2022,"2,375,559",,,,,
10/22,2022,"2,005,659",,,,,
10/23,2022,"2,416,107",,,,,
10/24,2022,"2,322,585",,,,,
10/25,2022,"1,981,651",,,,,
10/26,2022,"2,057,463",,,,,
10/27,2022,"2,310,460",,,,,
10/28,2022,"2,312,356",,,,,
10/29,2022,"1,830,454",,,,,
10/30,2022,"2,241,429",,,,,
10/31,2022,"1,925,032",,,,,
11/1,2022,"1,978,549",,,,,
11/2,2022,"1,897,396",,,,,
11/3,2022,"2,253,501",,,,,
11/4,2022,"2,272,855",,,,,
11/5,2022,"1,924,975",,,,,
11/6,2022,"2,396,744",,,,,
11/7,2022,"2,168,053",,,,,
11/8,2022,"1,896,916",,,,,
11/9,2022,"1,945,183",,,,,
11/10,2022,"2,203,214",,,,,
11/11,2022,"2,309,163",,,,,
11/12,2022,"1,945,373",,,,,
11/13,2022,"2,411,406",,,,,
11/14,2022,"2,229,804",,,,,
11/15,2022,"1,892,613",,,,,
11/16,2022,"2,034,880",,,,,
11/17,2022,"2,326,100",,,,,
11/18,2022,"2,458,089",,,,,
11/19,2022,"2,214,717",,,,,
11/20,2022,"2,385,400",,,,,
11/21,2022,"2,201,022",,,,,
11/22,2022,"2,370,351",,,,,
11/23,2022,"2,465,337",,,,,
11/24,2022,"1,426,195",,,,,
11/25,2022,"1,984,980",,,,,
11/26,2022,"2,336,633",,,,,
11/27,2022,"2,639,616",,,,,
11/28,2022,"2,389,672",,,,,
11/29,2022,"1,954,785",,,,,
11/30,2022,"1,893,497",,,,,
12/1,2022,"2,113,719",,,,,
12/2,2022,"2,132,571",,,,,
12/3,2022,"1,788,666",,,,,
12/4,2022,"2,261,227",,,,,
12/5,2022,"2,134,176",,,,,
12/6,2022,"1,752,091",,,,,
12/7,2022,"1,883,346",,,,,
12/8,2022,"2,220,053",,,,,
12/9,2022,"2,295,917",,,,,
12/10,2022,"1,886,068",,,,,
12/11,2022,"2,293,624",,,,,
12/12,2022,"2,167,861",,,,,
12/13,2022,"1,810,814",,,,,
12/14,2022,"1,993,063",,,,,
12/15,2022,"2,298,485",,,,,
12/16,2022,"2,453,178",,,,,
12/17,2022,"2,233,861",,,,,
12/18,2022,"2,357,086",,,,,
12/19,2022,"2,264,761",,,,,
12/20,2022,"2,216,373",,,,,
12/21,2022,"2,428,528",,,,,
12/22,2022,"2,366,608",,,,,
12/23,2022,"2,096,506",,,,,
12/24,2022,"1,834,551",,,,,
12/25,2022,"1,800,463",,,,,
12/26,2022,"2,218,145",,,,,
12/27,2022,"2,178,719",,,,,
12/28,2022,"2,153,682",,,,,
12/29,2022,"2,178,433",,,,,
12/30,2022,"2,383,422",,,,,
12/31,2022,"1,935,413",,,,,
1/1,2023,"2,046,950",,,,,
1/2,2023,"2,368,194",,,,,
1/3,2023,"2,212,528",,,,,
1/4,2023,"1,985,965",,,,,
1/5,2023,"2,031,976",,,,,
1/6,2023,"2,043,547",,,,,
1/7,2023,"1,917,290",,,,,
1/8,2023,"2,226,917",,,,,
1/9,2023,"2,009,868",,,,,
1/10,2023,"1,678,250",,,,,
1/11,2023,"1,723,117",,,,,
1/12,2023,"2,189,475",,,,,
1/13,2023,"2,316,713",,,,,
1/14,2023,"1,803,651",,,,,
1/15,2023,"2,038,119",,,,,
1/16,2023,"2,244,873",,,,,
1/17,2023,"1,803,155",,,,,
1/18,2023,"1,674,129",,,,,
1/19,2023,"1,997,346",,,,,
1/20,2023,"2,089,417",,,,,
1/21,2023,"1,662,736",,,,,
1/22,2023,"2,141,703",,,,,
1/23,2023,"1,970,280",,,,,
1/24,2023,"1,567,069",,,,,
1/25,2023,"1,677,909",,,,,
1/26,2023,"2,097,825",,,,,
1/27,2023,"2,122,066",,,,,
1/28,2023,"1,653,401",,,,,
1/29,2023,"2,144,644",,,,,
1/30,2023,"1,932,983",,,,,
1/31,2023,"1,534,786",,,,,
2/1,2023,"1,608,110",,,,,
2/2,2023,"2,042,277",,,,,
2/3,2023,"2,102,998",,,,,
2/4,2023,"1,669,806",,,,,
2/5,2023,"2,202,873",,,,,
2/6,2023,"2,040,256",,,,,
2/7,2023,"1,626,257",,,,,
2/8,2023,"1,796,332",,,,,
